name,count,rate
北京,94,0.092794
上海,57,0.056269
成都,57,0.056269
苏州,46,0.04541
广州,46,0.04541
深圳,46,0.04541
长沙,42,0.041461
南京,41,0.040474
西安,41,0.040474
青岛,38,0.037512
三亚,38,0.037512
杭州,38,0.037512
厦门,35,0.034551
武汉,30,0.029615
宁波,27,0.026654
昆明,26,0.025666
桂林,25,0.024679
哈尔滨,25,0.024679
沈阳,24,0.023692
天津,23,0.022705
丽江,23,0.022705
福州,21,0.020731
珠海,18,0.017769
大连,17,0.016782
郑州,17,0.016782
济南,15,0.014808
重庆,15,0.014808
扬州,14,0.01382
大理,12,0.011846
洛阳,12,0.011846
泉州,11,0.010859
贵阳,11,0.010859
张家界,10,0.009872
呼和浩特,10,0.009872
黄山,8,0.007897
